nom_produit,prix,categorie,note
Paul & Joe Beauté Boîtier Compact,"6,30€",Luxe et Beauté,"3,5"
PAUL & JOE Brume Fixante Maquillage | Travel Size 50ml 1.6oz,"18,00€",Luxe et Beauté,N/A
PAUL & JOE Kit Base de Maquillage Hydratante 01 (Avec Stick Lèvres & Joues),"29,25€",Luxe et Beauté,"4,0"
"PAUL & JOE Stylo illuminateur Liquide pour Maquillage 01 lavande, 2g","23,00€",Luxe et Beauté,"4,4"
"PAUL & JOE 'SAKURA COLLECTION' Base De Maquillage Étincelante S 002, 15ml","17,00€",Luxe et Beauté,N/A
PAUL & JOE Fond de teint illuminateur 01 lavande nacré 30 ml,"34,00€",Luxe et Beauté,"4,2"
"PAUL & JOE Recharge Blush Poudre Pressee 01 Secret D'or, Poudre, 5g (Recharge Uniquement), Fabriqué au Japon","12,00€",Luxe et Beauté,"4,4"
Prite 2 Pcs Trousse Maquillage Femme Vanity Case Voyage Portable Trousse de Toilette Cuir Rigide avec Séparateur et Trousse à Brosse Amovibles (Rouge Bourgogne),"34,99€",Luxe et Beauté,"4,6"
Crème Hydratante au Curcuma - 50ml,"29,90€",Luxe et Beauté,"5,0"
"PAUL & JOE Base De Maquillage Lissante 001, 30ml (SPF30 PA+++)","12,40€",Luxe et Beauté,N/A
"BAGSMART Trousse de maquillage de voyage pour s'allonger à plat, Noir , Fashion","21,99€",Luxe et Beauté,"4,6"
"AÏSHA Collection Privée Eau de Parfum Femme, Édition Intense Paris, Oriental Ambré, 50ml, Longue Durée","22,90€",Luxe et Beauté,N/A
PAUL & JOE Brume Fixante Maquillage | Travel Size 50ml 1.6oz,"18,00€",Luxe et Beauté,N/A
Paul & Joe Beauté Boîtier Compact,"6,30€",Luxe et Beauté,"3,5"
"PAUL & JOE 'SAKURA COLLECTION' Base De Maquillage Étincelante S 002, 15ml","17,00€",Luxe et Beauté,N/A
PAUL & JOE Kit Base de Maquillage Hydratante 01 (Avec Stick Lèvres & Joues),"29,25€",Luxe et Beauté,"4,0"
PAUL & JOE Fond de teint illuminateur 01 lavande nacré 30 ml,"34,00€",Luxe et Beauté,"4,2"
"PAUL & JOE Recharge Blush Poudre Pressee 01 Secret D'or, Poudre, 5g (Recharge Uniquement), Fabriqué au Japon","12,00€",Luxe et Beauté,"4,4"
"PAUL & JOE Stylo illuminateur Liquide pour Maquillage 01 lavande, 2g","23,00€",Luxe et Beauté,"4,4"
Prite 2 Pcs Trousse Maquillage Femme Vanity Case Voyage Portable Trousse de Toilette Cuir Rigide avec Séparateur et Trousse à Brosse Amovibles (Rouge Bourgogne),"34,99€",Luxe et Beauté,"4,6"
"PAUL & JOE Base De Maquillage Lissante 001, 30ml (SPF30 PA+++)","12,40€",Luxe et Beauté,N/A
Crème Hydratante au Curcuma - 50ml,"29,90€",Luxe et Beauté,"5,0"
"BAGSMART Trousse de maquillage de voyage pour s'allonger à plat, Noir , Fashion","21,99€",Luxe et Beauté,"4,6"
"Trousse de Maquillage Femme en Velours Côtelé, Grande Trousse de Toilette Voyage avec Lettre 3D, Set de Rangement Cosmétique 2 Pièces avec Pochette à Pinceaux, Beige-L","13,99€",Luxe et Beauté,"4,1"
