nom_produit,prix,categorie,note
Erborian - Glow Crème - Base de Teint Illuminatrice Hydratante - Crème Lumière Visage Nacrée Effet Ultra-Radieux et Perfecteur - Cosmétique Coréen,"15,30€",Cosmétique et Beauté,"4,4"
L'ORÉAL PARIS – AGE PERFECT GOLDEN AGE – SOIN FPS 20 ROSÉ RE-FORTIFIANT – CRÈME DE JOUR ANTI-RELÂCHEMENT & ECLAT – ENRICHI EN CELLULES NATIVES DE PIVOINE ET CALCIUM/VITAMINE B3 – 50 ML,"9,09€",Cosmétique et Beauté,"4,4"
"Erborian - CC Dull Correct - Soin Perfecteur Automatique de Teint - à Base de Centella Asiatica - Booster d’Eclat Illuminateur, Peau Unifiée - Crème Visage - Produit Coréen","17,92€",Cosmétique et Beauté,"4,5"
"Bi-Oil Huile De Soin Pour La Peau - Soin Spécialisé Pour Les Vergetures, Cicatrices, Peau Sèche Et Teint Irrégulier - 1 X 125 Ml","14,39€",Cosmétique et Beauté,"4,6"
Erborian - Ginseng Power - Crème Visage Lissante Anti-Âge - Lutte contre les Rides et les Ridules - Soin du Visage - Cosmétique Coréen - 15ml,"21,90€",Cosmétique et Beauté,"4,4"
"Elizabeth Arden, Visible Difference, Crème de jour, Crème hydratante visage, Complexe Hydratant, Apaisant et Affinant, Soin Skincare Anti-Âge, Pour les peaux fatiguées","19,15€",Cosmétique et Beauté,"4,2"
"GARNIER Skin Active Vitamine C - Sérum Éclat Anti-Taches Brunes - Soin Visage à 4% Niacinamide, Vitamine C, Acide Salicylique & Melasyl - Vegan & Cruelty Free - Tous Types de Peaux - 30 ml",N/A,Cosmétique et Beauté,"4,3"
medicube Masque de Nuit Wrapping au Collagène Peel-Off | Soin Élasticité & Hydratation | Effet Glass Skin Repulpant | Anti-Relâchement & Teint Terne | Collagène Hydrolysé | Skincare Coréenne - 75ml,"16,91€",Cosmétique et Beauté,"4,4"
Vichy - Liftactiv Supreme H A Sérum Visage - Sérum Anti-Rides Epidermic Filler - Enrichi en Vitamine Cg et Acide Hyaluronique - Anti-Rides Comblant et Repulpant - Pour Peaux Sensibles,N/A,Cosmétique et Beauté,"4,6"
"Elizabeth Arden RETINOL + HPR Ceramide Capsules Sérum Régénération Accélérée, Soin anti-âge","39,75€",Cosmétique et Beauté,"4,6"
Dr Pierre Ricaud Crème Anti-Rides Comblante pour le Visage à l'Acide Hyaluronique & Galanga Bio - Creme Anti Âge pour Femme - Creme de Jour Anti Rides - 40ml,"28,90€",Cosmétique et Beauté,"4,4"
"CeraVe - Crème Réparatrice Contour des Yeux - Réduit Poches & Cernes - Crème Yeux Hydratante 24 h - 3 Céramides, Acide Hyaluronique & Extraits de Plantes Marines - Tous Types de Peau - 14 ml",N/A,Cosmétique et Beauté,"4,2"
"Erborian - BB Crème au Ginseng 5-en-1 - Soin Teinté Perfecteur Effet ""Peau de Bébé"" - Fond de Teint Couvrant Imperfections - Protection Solaire SPF 20 - Soin Cosmétique Coréen","17,99€",Cosmétique et Beauté,"4,4"
Garnier Ambre Solaire - Sérum Autobronzant Visage Hydratant - Hâle Progressif & Sur-Mesure - Eau de Coco & Acide Hyaluronique - Pour Tous Types de Peaux - Natural Bronzer - 30 ml,"12,33€",Cosmétique et Beauté,"4,2"
"Clinique Émulsion Hydratante Tellement Différente + à la Glycérine + Urée, Peaux sèches à mixtes | Hydratant","31,35€",Cosmétique et Beauté,"4,6"
"L'OCCITANE - Reset Nuit Huile-en-Sérum Immortelle Reset - 30 ml - Anti-âge, hydratant et apaisant - Fabriqué en France","65,00€",Cosmétique et Beauté,"4,7"
"L’Oréal Paris – Sérum Anti-Rides & Anti-Âge – 1.5% Acide Hyaluronique Pur – Soin Visage Hydratant, Repulpant & Lissant – Pour Tous Types de Peaux – Revitalift Filler – 30 ml","11,09€",Cosmétique et Beauté,"4,4"
"Biotherm, Life Plankton, Lait Corps Multi-Correction, Lisse & Raffermit, Enrichi en Biotech Plankton & Beurre de Karité, Pour Tous Types de Peau, 400 ml","19,00€",Cosmétique et Beauté,"4,5"
L'Oréal Paris - Sérum de Nuit Rétinol Anti-Rides - Soin Visage Anti-Âge Spécial Rides Profondes - Peau Raffermie & Souple - Tous Types de Peaux - Revitalift Laser - 30 ml,"15,06€",Cosmétique et Beauté,"4,3"
"Lierac Premium - Le Masque Absolu Anti-Âge Global 50 ml - Concentré Régénérant pour un Effet Peau Neuve et Éclat Immédiat - Masque Visage Lissant, Illuminant et Anti-Âge - Soin Visage Toutes Peaux","44,89€",Cosmétique et Beauté,"4,1"
"Vichy - Liftactiv Crème De Jour Spf 50 Visage B3 - Crème Anti-Tache Visage - Enrichie en Niacinamide et Melasyl, Filtre SPF 50 - Correction Taches et Rides - Testé dermatologiquement","32,29€",Cosmétique et Beauté,"4,5"
"DEXECLEAR by DEXERYL Gel moussant anti-imperfections, 2 en 1: nettoie & réduit les boutons - Acide salicylique - Sans savon, Sans parfum - Visage & corps - Peau grasse à tendance acnéique, 400 ml","12,99€",Cosmétique et Beauté,"4,5"
"M. Asam MAGIC FINISH Summer Teint Spf 30 Fond Mousse (30ml), une Base Maquillage 4-En-1 : Primer, Make Up, Poudre & Anti-Cernes, Naturel & Léger pour Tout Type de Peau, Végétalien","26,99€",Cosmétique et Beauté,"4,0"
L'Oréal Paris - Sérum Anti-Taches - Enrichi en Mélasyl et Niacinamide - Teint Éclatant et Unifié - Exfoliant Doux - Pour Tous Types de Peau - Bright Reveal - 30 ml,"13,94€",Cosmétique et Beauté,"4,1"
"L'Oréal Paris - Sérum-Crème Anti-Âge - Réduit les Rides, les Taches et Redonne de l'Éclat - Tous Types de Peau - Enrichi en Melasyl - Revitalift Triple Laser - 50 ml","19,00€",Cosmétique et Beauté,"4,6"
RoC DERM CORREXION FIRMING SERUM STICK,"43,90€",Cosmétique et Beauté,"4,1"
RoC - Retinol Correxion Soin Lissant Crème Contour des Yeux - Réduit les Poches et les Cernes - Anti-Rides et Age - 15 ml,"30,90€",Cosmétique et Beauté,"4,2"
"Elizabeth Arden, Green Tea, Crème hydratante corps, Crème pour le corps à base de Nectar au Miel et Thé Vert, Hydrate, Apaise et Adoucit, Senteur Energisante et Stimulante","29,90€",Cosmétique et Beauté,"4,4"
L'ORÉAL PARIS – AGE PERFECT GOLDEN AGE – SOIN JOUR ROSÉ RE-FORTIFIANT – CRÈME DE JOUR ANTI-RELÂCHEMENT & ECLAT – ENRICHI EN CELLULES NATIVES DE PIVOINE ET CALCIUM/VITAMINE B3 – 50 ML,"8,70€",Cosmétique et Beauté,"4,4"
Vichy - LIFTACTIV H A Crème Contour Des Yeux - Soin Raffermissant Anti-Rides et Anti-Cernes - Crème Yeux Enrichie en Vitamine C et Acide Hyaluronique - Testé dermatologiquement,"25,04€",Cosmétique et Beauté,"4,5"
"VICHY LIFTACTIV Collagen Specialist 16 Crème de Jour Anti-Âge, Technologie Co-Bonding, Corrige 16 Signes de l'Âge, Rides, Fermeté, Éclat, Tous Types de Peau, 50 ml","25,93€",Cosmétique et Beauté,"4,4"
"Vichy, Minéral 89, Crème Jour Boost Visage, Hydratation 72H, Enrichie en Acide Hyaluronique & Squalane, Pour Tous Types de Peau, 50 ml","20,50€",Cosmétique et Beauté,"4,6"
