nom_produit,prix,categorie,note
Shiseido Tsubaki Après-shampoing extra hydratant 500 ml,"50,00€",Cosmétique de Luxe et Soins,"4,4"
Ultimate Reset Masque pour cheveux très abîmés 200 ml,"57,75€",Cosmétique de Luxe et Soins,"4,4"
Premium Moist Repair Conditioner Refill pack for Tsubaki 600ml,"27,99€",Cosmétique de Luxe et Soins,"5,0"
"Haruharu Wonder | Black Rice Moisture Huile nettoyante en profondeur | Nettoyant et démaquillant visage coréen, produit végétalien et sans cruauté animale | Huile de Jojoba, Huile de Macadamia","20,27€",Cosmétique de Luxe et Soins,"4,4"
Senka Perfect Whip Acne Care Facial Ｗash - 120g Blotting Paper Set,"16,00€",Cosmétique de Luxe et Soins,"4,0"
L'ORÉAL PARIS – AGE PERFECT GOLDEN AGE – SOIN FPS 20 ROSÉ RE-FORTIFIANT – CRÈME DE JOUR ANTI-RELÂCHEMENT & ECLAT – ENRICHI EN CELLULES NATIVES DE PIVOINE ET CALCIUM/VITAMINE B3 – 50 ML,"9,09€",Cosmétique de Luxe et Soins,"4,4"
Shiseido Tsubaki Damage Care Conditioner 500mL (Green Tea Set),"54,88€",Cosmétique de Luxe et Soins,"4,1"
Anessa Perfect UV Sunscreen Skincare Milk SPF50+ PA++++ 60 ml,N/A,Cosmétique de Luxe et Soins,"4,6"
Shiseido Face Oil Olotting Paper - 150 Sheet,"21,88€",Cosmétique de Luxe et Soins,"3,4"
Senka Perfect Whip Collagen in Facial Wash -120g Blotting Paper Set,"19,80€",Cosmétique de Luxe et Soins,"4,7"
"M. Asam MAGIC FINISH Summer Teint Spf 30 Fond Mousse (30ml), une Base Maquillage 4-En-1 : Primer, Make Up, Poudre & Anti-Cernes, Naturel & Léger pour Tout Type de Peau, Végétalien","26,99€",Cosmétique de Luxe et Soins,"4,0"
La Provençale Oleo-Jeunesse - Baume Booster d'Hydratation Anti-âge Certifié Bio - Omégas d'huile d'Olive verte - Tous types de peaux - Efficacité Prouvée - 50 ml,"6,99€",Cosmétique de Luxe et Soins,"4,4"
"fino Hair Masque Premium Touch – Soin à la Kératine, Biotine & Huile d’Argan – Cheveux Secs & Abîmés – Sans Silicone & Parabène – Hydratation & Réparation – 200ml.","23,59€",Cosmétique de Luxe et Soins,"4,1"
Glam Store botoxtreme masque reconstructeur capillaire - soin ultra concentré - kératine - acide hyaluronique - cheveux très abimés - 1000 mL (vanille),"54,90€",Cosmétique de Luxe et Soins,"4,2"
RoC - Retinol Correxion Soin Lissant Crème Contour des Yeux - Réduit les Poches et les Cernes - Anti-Rides et Age - 15 ml,"30,90€",Cosmétique de Luxe et Soins,"4,2"
"fino Hair Premium Touch – Après-shampoing réparateur pour cheveux secs à l’huile d’argan, kératine & aloe vera – Naturel – Sans silicone – 300 ml","24,85€",Cosmétique de Luxe et Soins,"3,7"
[VILLAGE11FACTORY] RELAX DAY AHA EXFOLIATING BODY LOTION (300 g) Soin coréen - Lotion Corps Exfoliante & Hydratante avec 12% d'Acide Glycolique - Elimine en douceur les cellules mortes,"22,90€",Cosmétique de Luxe et Soins,"4,5"
"[PKY] Tonique Essence Pyunkang Yul pour Barrière Cutanée, Hydratation Profonde & Apaisement, Tonique Haute Concentration, 7 Ingrédients, Zéro Irritation, Korean Skincare (200 ml, 6.8 Fl. Oz)","21,83€",Cosmétique de Luxe et Soins,"4,5"
Premium Volume Repair Shampoo for Tsubaki 450ml & Refill Pack 300ml Set - Moisturizing & Repairing - Cherry Blossom - Hair Care Set,"33,99€",Cosmétique de Luxe et Soins,N/A
"OUAI Sérum pour cuir chevelu – Sérum capillaire équilibrant à l'extrait de trèfle rouge, au ginseng sibérien et aux peptides pour des cheveux plus épais et plus volumineux – Soin du cuir chevelu sans","54,95€",Cosmétique de Luxe et Soins,"4,4"
Ouai OUAI Hair Gloss - Brillance immédiate - Protège contre les dommages causés par la chaleur - Renforce les cheveux - Prévient la décoloration des cheveux - Traitement capillaire contre les dommages,"34,00€",Cosmétique de Luxe et Soins,"4,1"
"Clean Skin Club Clean Towels XL®, lingettes visage 100% biosourcées USDA, jetables, ultra-douces, approuvées eczéma, démaquillantes à sec, 1 paquet de 50 lingettes.","17,95€",Cosmétique de Luxe et Soins,"4,6"
UKLASH Eyelash Growth Serum For Longer & Fuller Lashes - 3ml. Clinically Proven Formula for Naturally Longer Lashes and Extensions. Vegan & Cruelty-Free,"39,00€",Cosmétique de Luxe et Soins,"4,3"
"Theramid Derma-Peptides 35% 30 ml – 9 peptides biomimétiques, anti-âge, raffermissant, réduit les rides et stimule la production de collagène et d'élastine pour une peau d'apparence plus jeune","32,95€",Cosmétique de Luxe et Soins,"4,5"
