nom_produit,prix,categorie,note,source_file
"AVANT, Quintessence, 1x100ml",,Luxe et Beauté,"3,9",chanel_amazon.csv
"AÏSHA Collection Privée Eau de Parfum Femme, Édition Intense Paris, Oriental Ambré, 50ml, Longue Durée","22,90€",Luxe et Beauté,,chanel_amazon.csv
Prite 2 Pcs Trousse Maquillage Femme Vanity Case Voyage Portable Trousse de Toilette Cuir Rigide avec Séparateur et Trousse à Brosse Amovibles (Rouge Bourgogne),"34,99€",Luxe et Beauté,"4,6",chanel_amazon.csv
"Rare Beauty Blush – Long-lasting matte blush, gentle on the skin and lightweight, for everyday wear Crème Cosmétique Longue Durée (Happy)","28,88€",Luxe et Beauté,"2,8",chanel_amazon.csv
Paul & Joe Beauté Boîtier Compact,"6,30€",Luxe et Beauté,"3,5",chanel_amazon.csv
PAUL & JOE Brume Fixante Maquillage | Travel Size 50ml 1.6oz,"18,00€",Luxe et Beauté,,chanel_amazon.csv
PAUL & JOE Kit Base de Maquillage Hydratante 01 (Avec Stick Lèvres & Joues),"29,25€",Luxe et Beauté,"4,0",chanel_amazon.csv
"PAUL & JOE Stylo illuminateur Liquide pour Maquillage 01 lavande, 2g","23,00€",Luxe et Beauté,"4,4",chanel_amazon.csv
"PAUL & JOE 'SAKURA COLLECTION' Base De Maquillage Étincelante S 002, 15ml","17,00€",Luxe et Beauté,,chanel_amazon.csv
PAUL & JOE Fond de teint illuminateur 01 lavande nacré 30 ml,"34,00€",Luxe et Beauté,"4,2",chanel_amazon.csv
"PAUL & JOE Recharge Blush Poudre Pressee 01 Secret D'or, Poudre, 5g (Recharge Uniquement), Fabriqué au Japon","12,00€",Luxe et Beauté,"4,4",chanel_amazon.csv
Prite 2 Pcs Trousse Maquillage Femme Vanity Case Voyage Portable Trousse de Toilette Cuir Rigide avec Séparateur et Trousse à Brosse Amovibles (Rouge Bourgogne),"34,99€",Luxe et Beauté,"4,6",chanel_amazon.csv
Crème Hydratante au Curcuma - 50ml,"29,90€",Luxe et Beauté,"5,0",chanel_amazon.csv
"PAUL & JOE Base De Maquillage Lissante 001, 30ml (SPF30 PA+++)","12,40€",Luxe et Beauté,,chanel_amazon.csv
"BAGSMART Trousse de maquillage de voyage pour s'allonger à plat, Noir , Fashion","21,99€",Luxe et Beauté,"4,6",chanel_amazon.csv
"AÏSHA Collection Privée Eau de Parfum Femme, Édition Intense Paris, Oriental Ambré, 50ml, Longue Durée","22,90€",Luxe et Beauté,,chanel_amazon.csv
PAUL & JOE Brume Fixante Maquillage | Travel Size 50ml 1.6oz,"18,00€",Luxe et Beauté,,chanel_amazon.csv
Paul & Joe Beauté Boîtier Compact,"6,30€",Luxe et Beauté,"3,5",chanel_amazon.csv
"PAUL & JOE 'SAKURA COLLECTION' Base De Maquillage Étincelante S 002, 15ml","17,00€",Luxe et Beauté,,chanel_amazon.csv
PAUL & JOE Kit Base de Maquillage Hydratante 01 (Avec Stick Lèvres & Joues),"29,25€",Luxe et Beauté,"4,0",chanel_amazon.csv
PAUL & JOE Fond de teint illuminateur 01 lavande nacré 30 ml,"34,00€",Luxe et Beauté,"4,2",chanel_amazon.csv
"PAUL & JOE Recharge Blush Poudre Pressee 01 Secret D'or, Poudre, 5g (Recharge Uniquement), Fabriqué au Japon","12,00€",Luxe et Beauté,"4,4",chanel_amazon.csv
"PAUL & JOE Stylo illuminateur Liquide pour Maquillage 01 lavande, 2g","23,00€",Luxe et Beauté,"4,4",chanel_amazon.csv
Prite 2 Pcs Trousse Maquillage Femme Vanity Case Voyage Portable Trousse de Toilette Cuir Rigide avec Séparateur et Trousse à Brosse Amovibles (Rouge Bourgogne),"34,99€",Luxe et Beauté,"4,6",chanel_amazon.csv
"PAUL & JOE Base De Maquillage Lissante 001, 30ml (SPF30 PA+++)","12,40€",Luxe et Beauté,,chanel_amazon.csv
Crème Hydratante au Curcuma - 50ml,"29,90€",Luxe et Beauté,"5,0",chanel_amazon.csv
"BAGSMART Trousse de maquillage de voyage pour s'allonger à plat, Noir , Fashion","21,99€",Luxe et Beauté,"4,6",chanel_amazon.csv
"Trousse de Maquillage Femme en Velours Côtelé, Grande Trousse de Toilette Voyage avec Lettre 3D, Set de Rangement Cosmétique 2 Pièces avec Pochette à Pinceaux, Beige-L","13,99€",Luxe et Beauté,"4,1",chanel_amazon.csv
"BIODANCE Bio-Collagen Masque Profond Réel, Masque Hydrogel, Minimisation des Pores, Amélioration de l'Élasticité, Skincare Coréenne| 34 g (1,19 oz) x 4 pièces","14,10€",Cosmétique et Beauté,"4,2",clarins_amazon.csv
"CeraVe - Gel Moussant Anti-Imperfections - Purifie la Peau en douceur et Réduit les Imperfections - Acide Salicylique, Argile Blanche, Céramides et Niacinamide - Peau à Tendance Acnéique","8,81€",Cosmétique et Beauté,"4,6",clarins_amazon.csv
Erborian - CC Red Correct Crème Teintée Anti-Rougeur - Soin du Visage Perfecteur Automatique de Teint avec Correction Colorielle - Teint Unifié - SPF 25 - Cosmétique Coréen,"15,89€",Cosmétique et Beauté,"4,5",clarins_amazon.csv
"Erborian - BB Crème au Ginseng 5-en-1 - Soin Teinté Perfecteur Effet ""Peau de Bébé"" - Fond de Teint Couvrant Imperfections - Protection Solaire SPF 20 - Soin Cosmétique Coréen","15,89€",Cosmétique et Beauté,"4,4",clarins_amazon.csv
"Medicube triple collagene et acide hyaluronique, à l'élastine premium et au beurre de karité – anti ride et crème hydratante visage – skincare coreen, 50 ml","17,70€",Cosmétique et Beauté,"4,5",clarins_amazon.csv
L'Oréal Paris - Age Perfect Sérum Anti-Âge 2 en 1 Le Duo - Formule Booster de Collagène - Vitamines B3 et Cg - Age Perfect - Contenance : 30 ml,"21,99€",Cosmétique et Beauté,"4,4",clarins_amazon.csv
Clinique Moisture Surge Soin Auto-Réhydratant 100H à l'Acide Hyaluronique + Bio-Ferment d'Aloe Vera Tous types de peaux | Crème hydratante,"42,50€",Cosmétique et Beauté,"4,5",clarins_amazon.csv
L'Oréal Paris - Revitalift - Soin Anti-Âge Hydratant & Raffermissant - Crème de Jour Anti-Rides & Extra-Fermeté - Enrichi en Pro-Rétinol - Pour Tous Types de Peaux - 50 ml,"5,40€",Cosmétique et Beauté,"4,5",clarins_amazon.csv
RoC - Multi Correxion Renouveau + Eclat Baume pour les yeux - Contient de la vitamine C - Hypoallergénique - 4 g,"29,70€",Cosmétique et Beauté,"4,0",clarins_amazon.csv
"Vichy, Minéral 89, Soin Yeux, Fortifie & Répare, Enrichi en Acide Hyaluronique & Caféine, Pour Tous Types de Peau, 15 ml","15,29€",Cosmétique et Beauté,"4,4",clarins_amazon.csv
"Elizabeth Arden, Eight Hour Cream, Baume Apaisant Réparateur, Soin pour le Visage, Crème Hydratante pour le Visage Multi-usage, Protège, Répare et Apaise la Peau","17,03€",Cosmétique et Beauté,"4,4",clarins_amazon.csv
Erborian - Centella Cleansing - Huile/Gel démaquillante pour visage à la centella asiatica - Tous types de peaux - Soin cosmétique Coréen,"26,00€",Cosmétique et Beauté,"4,5",clarins_amazon.csv
"L’Oréal Paris – Midnight Sérum Age Perfect Renaissance Cellulaire - Soin Visage Anti-Rides, Fermeté, Éclat – Au Complexe Antioxydant Protecteur - Tous Types de Peaux – 30 ml","7,84€",Cosmétique et Beauté,"4,4",clarins_amazon.csv
"L'Oréal Paris - Sérum Contour des Yeux - Anti-Rides , Anti-Poches & Anti-Cernes - À l'Acide Hyaluronique Pur et à la Caféine - Embout Triple-Bille innovant - Revitalift Filler - 20 ml","14,40€",Cosmétique et Beauté,"4,2",clarins_amazon.csv
Nuxe crème prodigieuse boost baume-huile récupérateur nuit 50ml,"21,85€",Cosmétique et Beauté,"4,4",clarins_amazon.csv
Clinique Take The Day Off Baume Démaquillant | Dissout Maquillage et Écran Solaire,"22,90€",Cosmétique et Beauté,"4,6",clarins_amazon.csv
"L'Oréal Paris - Soin Profond Visage Anti-Âge - Crème de Jour Anti-Âge Triple Action - À l'Acide Hyaluronique, Pro-Rétinol & Vitamine C - Tous Types de Peau - Revitalift Laser X3 - 50 ml","9,40€",Cosmétique et Beauté,"4,4",clarins_amazon.csv
Clinique Moisture Surge Soin Auto-Réhydratant 100H à l'Acide Hyaluronique + Bio-Ferment d'Aloe Vera Tous types de peaux | Crème hydratante,"50,63€",Cosmétique et Beauté,"4,5",clarins_amazon.csv
L'Oréal Paris - CC Crème 5-en-1 - Crème Universelle Anti-Rougeurs - Enrichie en Vitamines B5 et E - Hydratation 24H - Peaux Sensibles et Peaux Grasses - Magic CC Crème - Teinte Universelle - 30 ml,"11,72€",Cosmétique et Beauté,"4,4",clarins_amazon.csv
La Provençale Peptide-Eclat Crème Rose Booster d'Eclat Anti-fatigue 50ml,"10,25€",Cosmétique et Beauté,"4,4",clarins_amazon.csv
"Erborian - BB Crème au Ginseng 5-en-1 - Soin Teinté Perfecteur Effet ""Peau de Bébé"" - Fond de Teint Couvrant Imperfections - Protection Solaire SPF 20 - Soin Cosmétique Coréen","17,99€",Cosmétique et Beauté,"4,4",clarins_amazon.csv
Erborian - Skin Therapy - Sérum ou Huile de Nuit Visage Multi-perfecteur au 17 Super Ingrédients – Sérum pour tous types de peaux - Soin cosmétique Coréen,"34,90€",Cosmétique et Beauté,"4,4",clarins_amazon.csv
"BIOTHERM, Aqua-Gelée Autobronzante, Sérum Autobronzant Hydratant, Effet Bronzé Naturel et Progressif, Sans Traces, Tous Types de Peaux, 50 ml","37,80€",Cosmétique et Beauté,"4,4",clarins_amazon.csv
Bien Être - Eau de Soin pour le Corps aux Essences Naturelles Actives - 200 ml,"6,87€",Cosmétique et Beauté,"4,7",clarins_amazon.csv
Nuxe merveillance lift crème velours effet liftant 50ml,"37,95€",Cosmétique et Beauté,"4,5",clarins_amazon.csv
BIOTHERM HOMME - Aquapower Advanced Gel - Gel Hydratant Visage Homme - Crème Hydratante Visage Homme - Soin Visage Homme - Peaux Normales à Mixtes - Texture non Collante,"39,95€",Cosmétique et Beauté,"4,6",clarins_amazon.csv
WELEDA - Crème de Jour Raffermissante Grenade et Maca - Soin anti-âge raffermissant pour les femmes dès 40 ans - Réduit les rides et raffermit - Peaux matures - NATRUE - Vegan - 40 ml,"16,36€",Cosmétique et Beauté,"4,4",clarins_amazon.csv
Duo Peau Éclatante– L’Oréal Paris – Sérum Age Perfect Le Duo + Fluide Enlumineur Lumi Glotion Teinte 903 - Rides Lissées & Teint Lumineux,"35,00€",Cosmétique et Beauté,"5,0",clarins_amazon.csv
"Mixa Sérum Concentré Anti-Imperfections, Sérum Visage avec Niacinamide et Acide Salicylique - Réduit Boutons, Points Noirs, Pores Resserrés, Convient aux Peaux Sensibles et à Imperfections, 30ml","7,69€",Cosmétique et Beauté,"4,4",clarins_amazon.csv
GARNIER Skin Active - Sérum Crème Booster D'Éclat 2-En-1 - Hydratation 72h & Éclat - FPS 25 - Vitamine C & Agrumes - Vegan & Cruelty Free - Peaux Ternes En Manque D'Éclat - 50 ml,"7,80€",Cosmétique et Beauté,"4,4",clarins_amazon.csv
"d'Alba First Spray Serum Sérum en Spray à la Truffe Blanche Italienne, Soin Végétalien, Brume Hydratante pour le Peau Radieuse, Sérum éclat, Soin Tout-en-Un (100ml)","19,99€",Cosmétique et Beauté,"4,4",clarins_amazon.csv
Erborian - Glow Crème - Base de Teint Illuminatrice Hydratante - Crème Lumière Visage Nacrée Effet Ultra-Radieux et Perfecteur - Cosmétique Coréen,"15,30€",Cosmétique et Beauté,"4,4",clarins_amazon.csv
L'ORÉAL PARIS – AGE PERFECT GOLDEN AGE – SOIN FPS 20 ROSÉ RE-FORTIFIANT – CRÈME DE JOUR ANTI-RELÂCHEMENT & ECLAT – ENRICHI EN CELLULES NATIVES DE PIVOINE ET CALCIUM/VITAMINE B3 – 50 ML,"9,09€",Cosmétique et Beauté,"4,4",clarins_amazon.csv
"Erborian - CC Dull Correct - Soin Perfecteur Automatique de Teint - à Base de Centella Asiatica - Booster d’Eclat Illuminateur, Peau Unifiée - Crème Visage - Produit Coréen","17,92€",Cosmétique et Beauté,"4,5",clarins_amazon.csv
"Bi-Oil Huile De Soin Pour La Peau - Soin Spécialisé Pour Les Vergetures, Cicatrices, Peau Sèche Et Teint Irrégulier - 1 X 125 Ml","14,39€",Cosmétique et Beauté,"4,6",clarins_amazon.csv
Erborian - Ginseng Power - Crème Visage Lissante Anti-Âge - Lutte contre les Rides et les Ridules - Soin du Visage - Cosmétique Coréen - 15ml,"21,90€",Cosmétique et Beauté,"4,4",clarins_amazon.csv
"Elizabeth Arden, Visible Difference, Crème de jour, Crème hydratante visage, Complexe Hydratant, Apaisant et Affinant, Soin Skincare Anti-Âge, Pour les peaux fatiguées","19,15€",Cosmétique et Beauté,"4,2",clarins_amazon.csv
"GARNIER Skin Active Vitamine C - Sérum Éclat Anti-Taches Brunes - Soin Visage à 4% Niacinamide, Vitamine C, Acide Salicylique & Melasyl - Vegan & Cruelty Free - Tous Types de Peaux - 30 ml",,Cosmétique et Beauté,"4,3",clarins_amazon.csv
medicube Masque de Nuit Wrapping au Collagène Peel-Off | Soin Élasticité & Hydratation | Effet Glass Skin Repulpant | Anti-Relâchement & Teint Terne | Collagène Hydrolysé | Skincare Coréenne - 75ml,"16,91€",Cosmétique et Beauté,"4,4",clarins_amazon.csv
Vichy - Liftactiv Supreme H A Sérum Visage - Sérum Anti-Rides Epidermic Filler - Enrichi en Vitamine Cg et Acide Hyaluronique - Anti-Rides Comblant et Repulpant - Pour Peaux Sensibles,,Cosmétique et Beauté,"4,6",clarins_amazon.csv
"Elizabeth Arden RETINOL + HPR Ceramide Capsules Sérum Régénération Accélérée, Soin anti-âge","39,75€",Cosmétique et Beauté,"4,6",clarins_amazon.csv
Dr Pierre Ricaud Crème Anti-Rides Comblante pour le Visage à l'Acide Hyaluronique & Galanga Bio - Creme Anti Âge pour Femme - Creme de Jour Anti Rides - 40ml,"28,90€",Cosmétique et Beauté,"4,4",clarins_amazon.csv
"CeraVe - Crème Réparatrice Contour des Yeux - Réduit Poches & Cernes - Crème Yeux Hydratante 24 h - 3 Céramides, Acide Hyaluronique & Extraits de Plantes Marines - Tous Types de Peau - 14 ml",,Cosmétique et Beauté,"4,2",clarins_amazon.csv
"Erborian - BB Crème au Ginseng 5-en-1 - Soin Teinté Perfecteur Effet ""Peau de Bébé"" - Fond de Teint Couvrant Imperfections - Protection Solaire SPF 20 - Soin Cosmétique Coréen","17,99€",Cosmétique et Beauté,"4,4",clarins_amazon.csv
Garnier Ambre Solaire - Sérum Autobronzant Visage Hydratant - Hâle Progressif & Sur-Mesure - Eau de Coco & Acide Hyaluronique - Pour Tous Types de Peaux - Natural Bronzer - 30 ml,"12,33€",Cosmétique et Beauté,"4,2",clarins_amazon.csv
"Clinique Émulsion Hydratante Tellement Différente + à la Glycérine + Urée, Peaux sèches à mixtes | Hydratant","31,35€",Cosmétique et Beauté,"4,6",clarins_amazon.csv
"L'OCCITANE - Reset Nuit Huile-en-Sérum Immortelle Reset - 30 ml - Anti-âge, hydratant et apaisant - Fabriqué en France","65,00€",Cosmétique et Beauté,"4,7",clarins_amazon.csv
"L’Oréal Paris – Sérum Anti-Rides & Anti-Âge – 1.5% Acide Hyaluronique Pur – Soin Visage Hydratant, Repulpant & Lissant – Pour Tous Types de Peaux – Revitalift Filler – 30 ml","11,09€",Cosmétique et Beauté,"4,4",clarins_amazon.csv
"Biotherm, Life Plankton, Lait Corps Multi-Correction, Lisse & Raffermit, Enrichi en Biotech Plankton & Beurre de Karité, Pour Tous Types de Peau, 400 ml","19,00€",Cosmétique et Beauté,"4,5",clarins_amazon.csv
L'Oréal Paris - Sérum de Nuit Rétinol Anti-Rides - Soin Visage Anti-Âge Spécial Rides Profondes - Peau Raffermie & Souple - Tous Types de Peaux - Revitalift Laser - 30 ml,"15,06€",Cosmétique et Beauté,"4,3",clarins_amazon.csv
"Lierac Premium - Le Masque Absolu Anti-Âge Global 50 ml - Concentré Régénérant pour un Effet Peau Neuve et Éclat Immédiat - Masque Visage Lissant, Illuminant et Anti-Âge - Soin Visage Toutes Peaux","44,89€",Cosmétique et Beauté,"4,1",clarins_amazon.csv
"Vichy - Liftactiv Crème De Jour Spf 50 Visage B3 - Crème Anti-Tache Visage - Enrichie en Niacinamide et Melasyl, Filtre SPF 50 - Correction Taches et Rides - Testé dermatologiquement","32,29€",Cosmétique et Beauté,"4,5",clarins_amazon.csv
"DEXECLEAR by DEXERYL Gel moussant anti-imperfections, 2 en 1: nettoie & réduit les boutons - Acide salicylique - Sans savon, Sans parfum - Visage & corps - Peau grasse à tendance acnéique, 400 ml","12,99€",Cosmétique et Beauté,"4,5",clarins_amazon.csv
"M. Asam MAGIC FINISH Summer Teint Spf 30 Fond Mousse (30ml), une Base Maquillage 4-En-1 : Primer, Make Up, Poudre & Anti-Cernes, Naturel & Léger pour Tout Type de Peau, Végétalien","26,99€",Cosmétique et Beauté,"4,0",clarins_amazon.csv
L'Oréal Paris - Sérum Anti-Taches - Enrichi en Mélasyl et Niacinamide - Teint Éclatant et Unifié - Exfoliant Doux - Pour Tous Types de Peau - Bright Reveal - 30 ml,"13,94€",Cosmétique et Beauté,"4,1",clarins_amazon.csv
"L'Oréal Paris - Sérum-Crème Anti-Âge - Réduit les Rides, les Taches et Redonne de l'Éclat - Tous Types de Peau - Enrichi en Melasyl - Revitalift Triple Laser - 50 ml","19,00€",Cosmétique et Beauté,"4,6",clarins_amazon.csv
RoC DERM CORREXION FIRMING SERUM STICK,"43,90€",Cosmétique et Beauté,"4,1",clarins_amazon.csv
RoC - Retinol Correxion Soin Lissant Crème Contour des Yeux - Réduit les Poches et les Cernes - Anti-Rides et Age - 15 ml,"30,90€",Cosmétique et Beauté,"4,2",clarins_amazon.csv
"Elizabeth Arden, Green Tea, Crème hydratante corps, Crème pour le corps à base de Nectar au Miel et Thé Vert, Hydrate, Apaise et Adoucit, Senteur Energisante et Stimulante","29,90€",Cosmétique et Beauté,"4,4",clarins_amazon.csv
L'ORÉAL PARIS – AGE PERFECT GOLDEN AGE – SOIN JOUR ROSÉ RE-FORTIFIANT – CRÈME DE JOUR ANTI-RELÂCHEMENT & ECLAT – ENRICHI EN CELLULES NATIVES DE PIVOINE ET CALCIUM/VITAMINE B3 – 50 ML,"8,70€",Cosmétique et Beauté,"4,4",clarins_amazon.csv
Vichy - LIFTACTIV H A Crème Contour Des Yeux - Soin Raffermissant Anti-Rides et Anti-Cernes - Crème Yeux Enrichie en Vitamine C et Acide Hyaluronique - Testé dermatologiquement,"25,04€",Cosmétique et Beauté,"4,5",clarins_amazon.csv
"VICHY LIFTACTIV Collagen Specialist 16 Crème de Jour Anti-Âge, Technologie Co-Bonding, Corrige 16 Signes de l'Âge, Rides, Fermeté, Éclat, Tous Types de Peau, 50 ml","25,93€",Cosmétique et Beauté,"4,4",clarins_amazon.csv
"Vichy, Minéral 89, Crème Jour Boost Visage, Hydratation 72H, Enrichie en Acide Hyaluronique & Squalane, Pour Tous Types de Peau, 50 ml","20,50€",Cosmétique et Beauté,"4,6",clarins_amazon.csv
FILORGA Hydra-Hyal Hydrating Plumping Water Cream 50ml,"39,76€",Cosmétique et Beauté,"4,7",clarins_amazon.csv
[MIZON] COLLAGEN POWER FIRMING ENRICHED CREAM (50ml) Soin coréen - Crème pour le visage ultra riche - 54% de collagène marin - Soin intensif anti-âge revitalisant,"21,62€",Cosmétique et Beauté,"4,4",clarins_amazon.csv
[MIZON] COLLAGEN 100 (30ml) Soin coréen - Sérum au collagène marin - Soin intensif anti-âge - Réduction des rides & ridules - Hydratation & Elasticité - Ingrédients naturels,"13,39€",Cosmétique et Beauté,"4,2",clarins_amazon.csv
"Lierac Premium - Le Sérum Absolu Anti-Âge Global 30 ml - Corrige 9 Signes de l’Âge : Rides, Taches, Perte de Fermeté - Sérum Visage Éclat, Hydratation et Uniformité - Toutes Peaux","71,99€",Cosmétique et Beauté,"4,1",clarins_amazon.csv
"Mixa - Huile Anti-Vergetures - 30% d’Omégas 6 & 9 - Réduit la Couleur, la Texture et l’Épaisseur des Vergetures Post-Grossesse ou Variations de Poids et de Taille - 100 ml","9,29€",Cosmétique et Beauté,"4,5",clarins_amazon.csv
"Biotherm Homme, Aquapower Comfort Gel Peaux Sèches, Gel Hydratant Visage pour Homme, texture non Collante à Absorption Rapide, Pour Lutter Contre le Dessèchement et les Agressions Extérieurs 75 ml","32,65€",Cosmétique et Beauté,"4,6",clarins_amazon.csv
"GARNIER Skin Active - Soin Yeux Booster D'Éclat - Réduit Les Cernes & Signes De Fatigue - Niacinamide, Caféine, Vitamine C, Poudre De Banane - Vegan & Cruelty Free - Tous Types de Peaux - 15 ml","8,00€",Cosmétique et Beauté,"4,2",clarins_amazon.csv
"Erborian - Matte Crème - Base de Teint Matifiante Visage 5-en-1 - Soin Effet Flouté, Affine le Grain de Peau, Prépare au Maquillage - Soin Coréen",,Cosmétique et Beauté,"4,4",clarins_amazon.csv
L'Oréal Paris - Coffret Routine 2 Produits Anti-Âge & Anti-Rides - Sérum Repulpant + Soin Jour Volumisant - Enrichi à l’Acide Hyaluronique - Pour Tous Types de Peaux - Revitalift Filler,"27,90€",Cosmétique et Beauté,"4,5",clarins_amazon.csv
